employee_id,first_name,last_name,email,phone,department,city,hire_date,salary,active
82,jennifer,gonzalez,jennifergonzalez@gmail.com,711-730-7340,,phoenix,07/05/2023,,TRUE
293,Elizabeth,GONZALEZ,elizabeth.gonzalez@email.com,(593) 905-8898,Marketing,Philadelphia,30-12-2023,-5000,N
300,Jennifer ,MOORE,jennifer_moore@yahoo,,Engineering,Chicago,2018-06-26,$77735,yes
178, David,brown,davidbrown@gmail.com,8856356583,Marketing ,Philadelphia,02/11/2020,148868,N
25,MIKE,martinez,MIKE.Martinez@COMPANY.COM,(527) 753-2320,ENGINEERING,San Antonio,17/09/21,$84496,yes
165,RICHARD,GARCIA,richardgarcia@gmail.com,7162203987,Marketing,Los Angeles,09/05/22,-5000,False
52,Jessica ,HERNANDEZ,,,Marketing,Los Angeles,19/08/20,89459.0,False
65,Thomas ,Gonzalez,thomas_gonzalez@yahoo,call me,HR, Chicago,02-12-2021,N/A,N
61,MIKE, Taylor,mike_taylor@yahoo,(664) 549-3578,Engineering,Chicago,2024-12-05,9999999,yes
115, Mike,thomas,invalid-email,call me,,new york,05/15/2018,$71220,
201, William,SMITH,invalid-email,(425) 339-7406,Support,Houston ,03/23/2024,unknown,False
64,John,anderson,invalid-email,926-855-7843,,San Diego,2022-01-22,$140688,yes
91,KAREN,Brown,karen_brown@yahoo,(582) 547-6990,Sales,Chicago,"September 26, 2021",N/A,0
146,Patricia, Hernandez,patricia.hernandez@email.com,+1 805.705.4201,Support, Chicago,10/01/2020,$83744,False
4,Karen ,GARCIA,karengarcia@gmail.com,855-904-4598,Sales, Chicago,"July 16, 2021",57653.0,N
277,Michael , Miller,michael_miller@yahoo,(780) 550-9921,,San Jose,12-03-2023,9999999,Y
153, Mike,RODRIGUEZ,mike_rodriguez@yahoo,,Support, Chicago,09-06-2023,95849.0,yes
79,james, Brown,james_brown@yahoo,(961) 650-7334,ENGINEERING,Los Angeles,30/10/22,-5000,0
126,John,HERNANDEZ,,+1 673.437.7636,Engineering,Chicago,"November 06, 2022",$126650,TRUE
100, Emily,jones,emilyjones@gmail.com,6097548370,sales,Los angeles,2020-08-25,-5000,Y
55,JESSICA,Rodriguez,,+1 471.253.3076,ENGINEERING,DALLAS,2019-04-11,131976.0,False
56, Thomas,BROWN,invalid-email,+1 690.611.7984,Marketing,San Diego,2022-12-22,N/A,No
169,William ,Jones,williamjones@gmail.com,6512117753,sales,Houston ,17/03/23,82028,N
208,Michael ,brown,,call me,Finance,San Antonio,01/07/20,137116.0,TRUE
197,JENNIFER, Martinez,invalid-email,(970) 864-1144,sales,San Antonio,"April 10, 2019",-5000,Yes
12,SUSAN, Thomas,susan.thomas@email.com,599-471-8454,HR,phoenix,2020-06-10,105914,0
274, Jane, Williams,janewilliams@gmail.com,(921) 810-8304,Marketing ,San Jose,2019-06-24,9999999,No
289,Jessica,Smith,jessica.smith@email.com,306-901-8306,Sales,New York,2024-12-12,$107874,
93,Susan ,RODRIGUEZ,,call me,Marketing,Houston,"March 19, 2018",unknown,N
67,Patricia ,Rodriguez,PATRICIA.Rodriguez@COMPANY.COM,call me,,DALLAS,"April 24, 2022",106064,TRUE
283, Joseph,Rodriguez,invalid-email,call me,Sales,Philadelphia,2024-01-01,9999999,
103,Richard , Jones,richard_jones@yahoo,call me,Marketing,New York,02-10-2022,121800,No
87,John ,thomas,,,ENGINEERING,San Diego,03/18/2023,48830.0,0
190, Joseph,Jones,invalid-email,+1 381.908.3845,Engineering,Los Angeles,06/05/22,unknown,yes
121,karen, Gonzalez,KAREN.Gonzalez@COMPANY.COM,4057331177,Marketing ,San Jose,19-09-2020,unknown,0
288, Jessica,lopez,JESSICA.Lopez@COMPANY.COM,+1 891.967.4961,, Chicago,09/03/20,N/A,0
231,Elizabeth ,taylor,ELIZABETH.Taylor@COMPANY.COM,(693) 752-4721,Sales,DALLAS,13-07-2019,67586,TRUE
276,Patricia ,LOPEZ,invalid-email,call me,ENGINEERING,Houston,12/18/2024,unknown,No
133,patricia,Jackson,patriciajackson@gmail.com,+1 335.455.3396,sales,Houston ,"October 10, 2020",-5000,yes
150,jane,MILLER,jane.miller@email.com,,Marketing ,DALLAS,03/03/2024,N/A,No
267, Karen,Wilson,KAREN.Wilson@COMPANY.COM,4963600727,Support,DALLAS,2021-08-19,73684.0,yes
187, Mike, Anderson,mike.anderson@email.com,(710) 657-6178,Marketing, Chicago,10/10/24,$69924,TRUE
160,Jessica, Gonzalez,invalid-email,9727481822,Finance,Los Angeles,31-10-2018,N/A,No
265,Mike ,Wilson,MIKE.Wilson@COMPANY.COM,call me,Sales,Los Angeles,29/05/24,-5000,yes
216,joseph,Gonzalez,josephgonzalez@gmail.com,3869931869,Marketing,San Jose,"June 04, 2018",-5000,
172,Karen ,Gonzalez,karen.gonzalez@email.com,7576911639,Finance,new york,24-08-2021,-5000,N
97,JANE,TAYLOR,jane.taylor@email.com,,Marketing ,San Diego,27-03-2020,72096,No
141,Mike ,Smith,mike.smith@email.com,,ENGINEERING,Los Angeles,07/01/24,,1
206,JESSICA,thomas,jessica_thomas@yahoo,(428) 990-5767,HR,Houston ,11/20/2024,9999999,Y
33,MIKE, Martinez,,3476426754,Marketing ,phoenix,09-06-2021,$45814,0
35,jane,MOORE,,(970) 702-2680,Finance,Houston ,2023-05-11,9999999,No
117, Karen,martin,karen.martin@email.com,+1 584.642.4043,,new york,2022-04-06,$111083,No
244,william,TAYLOR,invalid-email,+1 622.982.8054,sales,San Jose,12/09/20,-5000,0
78,Emily, Jones,emily.jones@email.com,,Finance,New York,22-02-2020,76789,0
118,MIKE , Rodriguez,,2393077279,Marketing,Chicago,12/24/2018,$44435,No
253,William,taylor,william_taylor@yahoo,(811) 744-2442,HR,DALLAS,02-06-2021,N/A,Yes
10,Jessica , Jones,jessicajones@gmail.com,+1 620.678.1887,Marketing,New York,08-07-2022,$142941,N
50,Jennifer,jones,JENNIFER.Jones@COMPANY.COM,7866313426,Marketing , Chicago,23-04-2021,,Y
170,Jennifer , Thomas,jenniferthomas@gmail.com,(685) 800-6730,ENGINEERING,New York,30/10/19,$58091,N
130, David, Miller,david_miller@yahoo,2718348264,Sales,phoenix,09/07/20,9999999,
26,William, Jackson,william_jackson@yahoo,,HR,phoenix,"November 21, 2022",unknown,Y
2,richard,Jackson,richardjackson@gmail.com,3445662585,sales,San Jose,2020-12-19,,yes
245, Richard,Anderson,,(235) 491-1267,Finance,DALLAS,26/09/23,,Yes
16,david,RODRIGUEZ,,5633987776,Sales,New York,09/28/2021,9999999,False
270,susan, Davis,SUSAN.Davis@COMPANY.COM,,Support,New York,31/05/23,9999999,False
85,JESSICA,JACKSON,jessica_jackson@yahoo,2707196784,Support,phoenix,20-11-2018,-5000,Y
186,JENNIFER,Gonzalez,jennifer.gonzalez@email.com,6616511064,Finance,New York,09/08/2023,unknown,N
210,SUSAN,THOMAS,,(620) 222-4992,Engineering,phoenix,08/01/20,83143,1
98,Thomas ,Davis,thomasdavis@gmail.com,call me,,Los Angeles,04-10-2021,9999999,Y
205,JESSICA,Brown,JESSICA.Brown@COMPANY.COM,call me,,San Antonio,08/13/2024,-5000,False
81,EMILY, Smith,emily.smith@email.com,+1 780.233.3513,Marketing ,Philadelphia,"March 04, 2022",N/A,False
5, Susan,GONZALEZ,SUSAN.Gonzalez@COMPANY.COM,,Marketing, Chicago,2018-07-12,unknown,
72,PATRICIA,ANDERSON,PATRICIA.Anderson@COMPANY.COM,call me,Support,San Antonio,10/26/2019,-5000,Yes
27,Richard ,Jones,richard_jones@yahoo,6877792136,ENGINEERING,Philadelphia,"May 16, 2020",unknown,1
138,JENNIFER, Martinez,jennifermartinez@gmail.com,+1 368.650.6753,HR,new york,"September 13, 2019",$119989,No
227,THOMAS,moore,THOMAS.Moore@COMPANY.COM,,Engineering,Houston ,18-11-2019,unknown,No
105, John, Martinez,invalid-email,(588) 435-5055,ENGINEERING,San Jose,03/06/2018,57011,TRUE
260,emily,Wilson,,861-662-2481,ENGINEERING,San Antonio,"August 17, 2021",$53445,TRUE
